ranking,brand,product,price,calories ,rating,reviews,pork_content,domestic,,
1,풀무원,얇은피 꽉찬속 고기만두,1248,165,4.8,45663,33.23,1,,
2,하림,더미식 육즙고기교자,1240,179,4.7,782,32.4,1,,
3,노브랜드,얇은피 고기만두,785,205,4.8,4029,33.01,1,,
4,제일제당,비비고 진한고기만두,2135,245,4.8,9635,34.37,2,,
5,제일제당,비비고 깻잎고기만두,1185,184,4.8,3531,29.33,1,,
6,오뚜기,맛있는 왕교자고기,1173,255,4.8,2578,27.16,1,,
7,풀무원,고기지짐만두,1796,205,4.8,1495,21.85,1,,
8,오뚜기,엑스오 수제 손만두 고기듬뿍,1442,206,4.8,116,30.1,1,,
9,제일제당,비비고 청양고기만두,1990,183,4.6,192,22.6,1,,
10,오뚜기,엑스오 교자 고기,924,213,4.8,93,33.8,1,,
11,피코크,생돈육왕만두,854,189,4.8,8335,26.46,1,,
12,오뚜기,맛있는 찹쌀군만두 고기,800,260,4.8,1939,29.4,1,,
13,하림,더미식 땡초고기교자,1554,179,4.5,83,28.7,1,,
14,하림,더미식 고기군만두,1700,198,4.6,173,34.4,1,,
15,만두장성,시장부추고기만두,1225,200,4.7,880,21.06,1,,
16,고향만두,고기깻잎 지짐만두,1248,195,4.6,120,23,1,,
17,사조,대림 고기손만두,1248,215,4.6,416,12.77,1,,
18,풀무원,한식교자 고기한상,1248,205,4.7,475,22.33,1,,
19,동원,속이 비치는 얇은피 고기만두,1185,185,4.8,1114,26.18,2,,
20,피코크,속이 꽉 찬 고기 킹만두,1018,200,4.7,246,15.92,1,,
21,오뚜기,엑스오 감자떡만두 고기,1559,222,4.7,97,31.5,1,,
22,롯데,식사이론 대파고기만두,1140,190,4.6,34,26,1,,
23,고향만두,얇은피 왕교자 고기만두,1078,172,4.8,1715,20,1,,
24,창화당,고기궁중만두,1364,201,5,9,21.83,1,,
25,롯데,셰푸드 쫄깃롤만두,830,199,4,1,27.39,1,,
26,창화당,참만두,1175,184,4.9,11,28.3,1,,
27,세미원푸드,이화맛집고기손만두,602,200,,,22,1,,
28,진주햄,포자고기만두,810,196,,,23.3,1,,
29,홍진경 더만두,더큰만두 고기맛,1602,171,4.5,10,23.85,1,,
30,심할머니안흥찐빵,감자고기손만두,1125,330,4.5,22,16.99,1,,
